image_name,fit_status,anchor_source,anchor_x,anchor_y,predicted_roi_x,predicted_roi_y,predicted_roi_w,predicted_roi_h,angle_deg,shift_x_px,shift_y_px,ecc_score,ecc_iteration_limited,ecc_iterations,ecc_epsilon,blur_kernel,search_margin_px,overlap_pixels,mean_abs_diff,rmse
_APL3425.JPG,reference_identity,refined,1407.8072736709628,2197.8431062552067,867,2043,252,271,0.0,0.0,0.0,,False,200,1e-06,5,0,68292,0.0,0.0
_APL3426.JPG,ecc_ok,refined,1412.40895700592,2180.205596323303,872,2025,252,271,0.03548195958137512,-0.4054797887802124,-0.30741533637046814,0.9998160388134284,False,200,1e-06,5,0,68175,1.7919325828552246,2.8428292274475098
_APL3427.JPG,ecc_ok,refined,1411.6139155746614,2163.1940649356075,871,2008,252,271,0.05647037923336029,-0.08033738285303116,-1.069417953491211,0.9998564273508519,False,200,1e-06,5,0,68040,1.9352439641952515,2.9483802318573
_APL3428.JPG,ecc_ok,refined,1412.8033269311695,2146.180600542376,872,1991,252,271,0.0880265012383461,0.30864831805229187,-2.1305384635925293,0.9998729436156117,False,200,1e-06,5,0,67788,1.9515204429626465,2.94620680809021
_APL3429.JPG,ecc_ok,refined,1410.9100116952047,2122.6234386064843,870,1968,252,271,0.12088803201913834,0.6661659479141235,-3.9488320350646973,0.9998004072819171,False,200,1e-06,5,0,67247,1.9485825300216675,3.004045248031616
_APL3430.JPG,ecc_ok,refined,1412.7082663058557,2172.993827623699,872,2018,252,271,0.014793573878705502,-0.1164613738656044,-0.7491469383239746,0.999859855042831,False,200,1e-06,5,0,68040,1.9064520597457886,2.8815016746520996
_APL3431.JPG,ecc_ok,refined,1414.4206343788358,2158.4160894192296,874,2004,252,271,0.033991049975156784,-0.35578054189682007,-1.9505435228347778,0.9998121103481644,False,200,1e-06,5,0,67761,1.84267258644104,2.9265189170837402
_APL3432.JPG,ecc_ok,refined,1411.6424652997448,2153.151607773603,871,1998,252,271,0.060088787227869034,0.09144753217697144,-1.665735125541687,0.9998417169919801,False,200,1e-06,5,0,67882,1.874330997467041,2.8925256729125977
_APL3433.JPG,ecc_ok,refined,1409.172104317329,2142.5346771547997,868,1988,252,271,0.06009330973029137,0.7745577096939087,-3.0147006511688232,0.9998837432596743,False,200,1e-06,5,0,67276,1.8962681293487549,2.8492212295532227
_APL3434.JPG,ecc_ok,refined,1413.3188356455582,2113.0354652208284,873,1958,252,271,0.11270665377378464,0.03702791780233383,-3.7550642490386963,0.9998242953042593,False,200,1e-06,5,0,67406,1.9225242137908936,2.967634916305542
_APL3435.JPG,ecc_ok,refined,1411.720414466856,2176.9895779157678,871,2022,252,271,0.03096172586083412,0.015242877416312695,-1.0216820240020752,0.9998732238164326,False,200,1e-06,5,0,68040,1.9605673551559448,2.960517406463623
_APL3436.JPG,ecc_ok,refined,1412.2939242707328,2166.5837477564664,871,2012,252,271,0.043064042925834656,0.6007993817329407,-1.889451026916504,0.9998287703824081,False,200,1e-06,5,0,67655,1.8926613330841064,2.9279391765594482
_APL3437.JPG,ecc_ok,refined,1411.222098883936,2160.654001841559,870,2006,252,271,0.05441782623529434,0.7503534555435181,-2.3930325508117676,0.9998533780076442,False,200,1e-06,5,0,67525,1.8969813585281372,2.874016046524048
_APL3438.JPG,ecc_ok,refined,1412.3327092831912,2140.5924826400565,872,1986,252,271,0.0665283128619194,-0.11690832674503326,-3.150808095932007,0.9998334707001603,False,200,1e-06,5,0,67536,1.9495774507522583,2.9892737865448
_APL3439.JPG,ecc_ok,refined,1409.8568037855098,2116.323943946316,869,1961,252,271,0.1009003147482872,0.5776705741882324,-3.439662218093872,0.9998172567072863,False,200,1e-06,5,0,67494,1.9466767311096191,3.0126829147338867
_APL3440.JPG,ecc_ok,refined,1415.720346847715,2163.6048607623893,875,2009,252,271,0.017961706966161728,-0.059104591608047485,-1.392855167388916,0.999826837915886,False,200,1e-06,5,0,68040,1.9813345670700073,3.021057367324829
_APL3441.JPG,ecc_ok,refined,1407.8654285471405,2161.7405400163198,867,2007,252,271,0.01445133239030838,0.15570436418056488,-1.599535346031189,0.9998577659029458,False,200,1e-06,5,0,67788,1.8885594606399536,2.8668973445892334
_APL3442.JPG,ecc_ok,refined,1411.4319854892233,2149.5960848692575,871,1995,252,271,0.051670514047145844,-0.14971444010734558,-2.5509214401245117,0.9997953492297955,False,200,1e-06,5,0,67732,1.9096537828445435,3.007906436920166
_APL3443.JPG,ecc_ok,refined,1412.1595825774334,2139.9956868371,871,1985,252,271,0.07881340384483337,0.7779802680015564,-2.813852548599243,0.9998419398780262,False,200,1e-06,5,0,67359,1.877274513244629,2.8900725841522217
_APL3444.JPG,ecc_ok,refined,1409.5494963954145,2127.184378160534,869,1972,252,271,0.09930527210235596,0.3864212930202484,-3.537966012954712,0.9998331714174441,False,200,1e-06,5,0,67514,1.932033896446228,2.9814095497131348
